lottery_type,period_id,front_1,front_2,front_3,front_4,front_5,back_1,back_2
dlt,8058,3,9,11,29,33,3,12
dlt,8059,7,13,21,25,31,8,10
dlt,8060,3,13,17,23,30,1,11
dlt,8061,7,10,14,19,32,3,6
dlt,8062,1,15,27,28,29,3,10
dlt,8063,7,11,24,30,35,6,8
dlt,8064,14,18,24,27,31,6,7
dlt,8065,19,22,23,25,32,6,12
dlt,8066,2,7,21,22,25,4,12
dlt,8067,3,10,14,15,22,4,7
dlt,8068,6,9,11,33,34,6,10
dlt,8069,5,13,16,29,33,6,8
dlt,8070,9,17,18,21,31,1,5
dlt,8071,1,5,11,14,25,1,9
dlt,8072,10,25,32,33,34,3,9
dlt,8073,2,5,6,7,31,8,10
dlt,8074,10,13,22,31,35,4,12
dlt,8075,1,10,13,30,33,6,7
dlt,8076,3,5,10,27,34,1,12
dlt,8077,1,8,21,33,34,5,7
dlt,8078,8,17,20,28,31,7,11
dlt,8079,20,23,26,32,33,5,12
dlt,8080,6,9,29,31,33,5,11
dlt,8081,7,8,20,22,29,4,7
dlt,8082,15,19,29,33,35,1,2
dlt,8083,6,14,15,30,31,3,10
dlt,8084,2,17,20,22,25,5,11
dlt,8085,3,7,13,15,19,2,10
dlt,8086,1,6,10,22,35,3,7
dlt,8087,14,22,32,33,35,1,5
dlt,8088,7,11,19,27,31,2,3
dlt,8089,8,13,24,32,33,3,9
dlt,8090,4,11,18,33,34,2,6
dlt,8091,9,13,19,22,25,4,10
dlt,8092,3,23,26,32,34,4,9
dlt,8093,6,7,10,24,30,5,8
dlt,8094,7,12,19,27,34,11,12
dlt,8095,3,4,11,21,25,1,7
dlt,8096,6,7,12,25,28,2,12
dlt,8097,1,10,31,33,35,3,10
dlt,8098,7,10,22,27,33,4,8
dlt,8099,3,18,23,25,30,6,10
dlt,8100,12,20,26,29,30,2,6
dlt,8101,10,13,23,31,33,4,11
dlt,8102,5,25,26,29,35,3,10
dlt,8103,2,11,22,30,34,4,9
dlt,8104,7,8,10,24,34,8,11
dlt,8105,12,21,22,26,35,4,5
dlt,8106,3,5,21,28,33,2,6
dlt,8107,1,2,13,15,16,4,9
dlt,8108,11,16,24,29,32,9,11
dlt,8109,1,10,18,28,34,5,8
dlt,8110,5,16,25,27,33,4,9
dlt,8111,2,11,12,14,19,5,9
dlt,8112,4,18,26,32,33,5,8
dlt,8113,11,14,17,19,22,1,8
dlt,8114,2,3,22,27,31,6,7
dlt,8115,7,9,19,21,33,7,10
dlt,8116,6,8,15,24,31,1,3
dlt,8117,13,23,24,25,30,2,8
dlt,8118,6,9,19,25,30,6,12
dlt,8119,1,2,10,19,27,1,11
dlt,8120,21,23,24,25,32,3,4
dlt,8121,11,23,24,32,35,4,10
dlt,8122,3,6,12,20,29,9,12
dlt,8123,1,6,12,28,31,8,9
dlt,8124,2,10,13,29,33,6,10
dlt,8125,1,4,28,33,34,6,11
dlt,8126,9,29,32,34,35,1,8
dlt,8127,8,21,22,31,33,1,7
dlt,8128,12,15,23,24,25,10,11
dlt,8129,13,16,20,25,27,4,5
dlt,8130,3,5,22,29,34,7,12
dlt,8131,8,9,12,21,32,7,11
dlt,8132,6,14,24,27,29,5,9
dlt,8133,10,12,15,33,35,3,9
dlt,8134,11,13,15,28,35,8,10
